iter	Passed	Remaining
1310	41371	84856
1311	41408	84836
1312	41451	84829
1313	41506	84844
1314	41549	84837
1315	41579	84801
1316	41607	84763
1317	41653	84760
1318	41687	84733
1319	41718	84701
1320	41747	84663
1321	41772	84619
1322	41803	84586
1323	41830	84545
1324	41872	84535
1325	41911	84518
1326	41939	84480
1327	41966	84438
1328	41999	84410
1329	42033	84382
1330	42060	84343
1331	42099	84325
1332	42132	84297
1333	42159	84255
1334	42187	84216
1335	42212	84171
1336	42240	84132
1337	42287	84132
1338	42329	84121
1339	42365	84099
1340	42402	84078
1341	42446	84070
1342	42484	84052
1343	42521	84029
1344	42559	84012
1345	42597	83991
1346	42630	83964
1347	42661	83930
1348	42691	83895
1349	42723	83863
1350	42761	83845
1351	42793	83814
1352	42830	83793
1353	42868	83774
1354	42907	83756
1355	42943	83733
1356	42985	83721
1357	43027	83710
1358	43066	83692
1359	43109	83682
1360	43156	83682
1361	43196	83664
1362	43233	83643
1363	43272	83626
1364	43316	83619
1365	43354	83599
1366	43394	83582
1367	43435	83568
1368	43475	83553
1369	43516	83539
1370	43558	83527
1371	43603	83519
1372	43639	83495
1373	43681	83483
1374	43712	83450
1375	43745	83422
1376	43781	83398
1377	43822	83384
1378	43868	83379
1379	43904	83355
1380	43935	83320
1381	43965	83287
1382	44001	83262
1383	44042	83248
1384	44081	83230
1385	44115	83202
1386	44157	83190
1387	44200	83177
1388	44248	83177
1389	44286	83156
1390	44324	83136
1391	44360	83111
1392	44397	83089
1393	44437	83073
1394	44474	83051
1395	44508	83023
1396	44545	83001
1397	44585	82984
1398	44616	82950
1399	44651	82924
1400	44684	82894
1401	44712	82855
1402	44747	82829
1403	44780	82798
1404	44816	82775
1405	44851	82749
1406	44893	82735
1407	44946	82742
1408	44986	82725
1409	45025	82707
1410	45062	82684
1411	45102	82665
1412	45136	82638
1413	45173	82615
1414	45205	82583
1415	45234	82546
1416	45269	82520
1417	45311	82506
1418	45346	82480
1419	45375	82443
1420	45412	82419
1421	45446	82392
1422	45477	82358
1423	45501	82312
1424	45527	82269
1425	45561	82240
1426	45596	82214
1427	45635	82195
1428	45672	82172
1429	45709	82149
1430	45743	82120
1431	45776	82091
1432	45810	82063
1433	45849	82043
1434	45892	82031
1435	45930	82010
1436	45969	81989
1437	46005	81965
1438	46041	81940
1439	46077	81914
1440	46115	81893
1441	46149	81866
1442	46183	81837
1443	46214	81803
1444	46247	81773
1445	46277	81738
1446	46317	81720
1447	46342	81675
1448	46380	81653
1449	46421	81638
1450	46463	81622
1451	46500	81600
1452	46534	81572
1453	46572	81550
1454	46603	81515
1455	46631	81476
1456	46666	81449
1457	46707	81433
1458	46738	81400
1459	46766	81360
1460	46800	81331
1461	46842	81316
1462	46876	81288
1463	46906	81253
1464	46949	81239
1465	46986	81215
1466	47026	81198
1467	47062	81173
1468	47101	81153
1469	47145	81140
1470	47178	81110
1471	47212	81082
1472	47245	81052
1473	47280	81024
1474	47315	80997
1475	47352	80973
1476	47384	80942
1477	47426	80927
1478	47459	80896
1479	47497	80874
1480	47534	80849
1481	47571	80826
1482	47613	80811
1483	47659	80802
1484	47696	80779
1485	47734	80756
1486	47772	80734
1487	47809	80711
1488	47845	80685
1489	47886	80668
1490	47927	80651
1491	47966	80629
1492	48003	80605
1493	48052	80602
1494	48087	80575
1495	48126	80553
1496	48166	80534
1497	48206	80516
1498	48250	80503
1499	48284	80474
1500	48320	80448
1501	48360	80428
1502	48396	80403
1503	48433	80379
1504	48473	80360
1505	48514	80342
1506	48555	80324
1507	48599	80312
1508	48648	80306
1509	48683	80279
1510	48721	80256
1511	48757	80230
1512	48792	80202
1513	48826	80173
1514	48865	80151
1515	48899	80123
1516	48933	80092
1517	48971	80070
1518	49012	80052
1519	49049	80027
1520	49086	80003
1521	49135	79997
1522	49172	79974
1523	49211	79952
1524	49247	79925
1525	49281	79896
1526	49320	79874
1527	49361	79857
1528	49396	79828
1529	49432	79803
1530	49478	79791
1531	49505	79752
1532	49535	79715
1533	49568	79684
1534	49603	79656
1535	49641	79632
1536	49680	79612
1537	49717	79586
1538	49752	79558
1539	49791	79537
1540	49826	79508
1541	49861	79481
1542	49902	79461
1543	49936	79433
1544	49970	79402
1545	50005	79375
1546	50035	79339
1547	50069	79309
1548	50109	79289
1549	50143	79258
1550	50180	79234
1551	50212	79201
1552	50249	79175
1553	50290	79156
1554	50325	79129
1555	50359	79098
1556	50395	79073
1557	50430	79044
1558	50469	79021
1559	50507	78998
1560	50545	78975
1561	50588	78959
1562	50629	78940
1563	50662	78909
1564	50699	78883
1565	50736	78859
1566	50770	78828
1567	50824	78829
1568	50869	78816
1569	50924	78819
1570	50966	78801
1571	51005	78780
1572	51058	78778
1573	51105	78767
1574	51145	78747
1575	51185	78726
1576	51236	78723
1577	51275	78699
1578	51316	78681
1579	51361	78667
1580	51403	78650
1581	51441	78625
1582	51485	78610
1583	51526	78591
1584	51562	78564
1585	51610	78554
1586	51657	78543
1587	51705	78535
1588	51743	78510
1589	51786	78494
1590	51831	78480
1591	51869	78455
1592	51913	78440
1593	51947	78410
1594	51990	78392
1595	52023	78360
1596	52053	78324
1597	52089	78296
1598	52127	78272
1599	52167	78250
1600	52204	78225
1601	52237	78192
1602	52272	78164
1603	52315	78147
1604	52351	78119
1605	52388	78094
1606	52421	78061
1607	52458	78035
1608	52495	78008
1609	52529	77978
1610	52562	77947
1611	52595	77915
1612	52633	77890
1613	52669	77862
1614	52704	77832
1615	52736	77799
1616	52772	77771
1617	52811	77748
1618	52847	77720
1619	52883	77692
1620	52917	77662
1621	52959	77643
1622	52997	77619
1623	53037	77596
1624	53075	77571
1625	53118	77554
1626	53158	77532
1627	53192	77501
1628	53227	77471
